stop_id,stop_name,stop_lat,stop_lon,stop_timezone
4490,"Contrada Felpiano, 2 - Rende",39.331681,16.184743,Europe/Rome
4433,"VIa D.Vanni, 43 - Rende",39.331891,16.186493,Europe/Rome
4497,"VIa D.Vanni, 71 - Rende",39.331491,16.189513,Europe/Rome
4347,Strada Provinciale 90 - Rende,39.333591,16.191503,Europe/Rome
4349,"Strada Provinciale 90, 1 - Rende",39.333841,16.196983,Europe/Rome
4365,"Strada Provinciale 90, 1 - Rende",39.333011,16.202143,Europe/Rome
4412,"Via Michele Molinaro, 31 - Rende",39.327562,16.205223,Europe/Rome
4474,"Via Michele Molinaro, 44 - Rende",39.327482,16.208003,Europe/Rome
4095,"Via Giorgio de Chirico, 16 - Castrolibero",39.328302,16.218093,Europe/Rome
4473,IIIÂ° Traversa Giorgio De Chirico - Rende,39.330192,16.221273,Europe/Rome
4470,"Via C. Colombo,88 - Rende",39.331642,16.224543,Europe/Rome
4409,"Via Giorgio de Chirico, 163B - Rende",39.332882,16.226973,Europe/Rome
4367,"Via Carlo Carrà , 69 - Rende",39.333012,16.235673,Europe/Rome
4398,"Via Modigliani, 85 - Rende",39.329762,16.236963,Europe/Rome
4399,"Via Sandro Botticelli, 1 - Rende",39.325792,16.238213,Europe/Rome
4389,"Via Genova, 30 - Rende",39.325542,16.243343,Europe/Rome
4387,"Via Busento, 29 - Rende",39.326142,16.245183,Europe/Rome
4394,Via Crati - Rende,39.325332,16.247253,Europe/Rome
4190,"Viale Sergio Cosmai, 21 - Cosenza",39.322132,16.248363,Europe/Rome
4168,"Viale Sergio Cosmai, 21 - Cosenza",39.320322,16.248403,Europe/Rome
4171,"Viale Sergio Cosmai, 6 - Cosenza",39.317582,16.249193,Europe/Rome
4174,"Viale Paolo Borsellino, 10 - Cosenza",39.315242,16.249723,Europe/Rome
4175,"Viale Paolo Borsellino, 11 - Cosenza",39.311072,16.252473,Europe/Rome
4180,"Viale Giovanni e Francesca Falcone, 158-162 - Cosenza",39.309272,16.253173,Europe/Rome
4194,Autostazione Cosenza - Cosenza,39.304232,16.252903,Europe/Rome
4767,Autostazione Cosenza - Cosenza,39.303572,16.252973,Europe/Rome
4181,"Viale Giovanni e Francesca Falcone, 158 - Cosenza",39.309282,16.253253,Europe/Rome
4176,"Viale Paolo Borsellino, 17 - Cosenza",39.311602,16.252313,Europe/Rome
4177,"Viale Paolo Borsellino, 10 - Cosenza",39.314552,16.250353,Europe/Rome
4170,"Viale Sergio Cosmai, 6 - Cosenza",39.317042,16.249403,Europe/Rome
4169,"Viale Sergio Cosmai, 10 - Cosenza",39.319932,16.248543,Europe/Rome
