route_id,trip_id,service_id,trip_short_name,route_short_name
1519,200578,200578,"135 A Contrada Felpiano, 2 07:11:00",135 A
1519,200579,200579,"135 A Contrada Felpiano, 2 08:31:00",135 A
1519,200580,200580,"135 A Contrada Felpiano, 2 09:51:00",135 A
1519,200581,200581,"135 A Contrada Felpiano, 2 11:06:00",135 A
1519,200582,200582,"135 A Contrada Felpiano, 2 12:21:00",135 A
1519,200584,200584,"135 A Contrada Felpiano, 2 15:31:00",135 A
1519,200585,200585,"135 A Contrada Felpiano, 2 17:36:00",135 A
1519,200586,200586,"135 A Contrada Felpiano, 2 18:51:00",135 A
1520,200594,200594,"135 A Contrada Felpiano, 2 13:51:00",135 A
1521,200004,200004,135 A Autostazione Cosenza 07:50:00,135 A
1521,200587,200587,135 A Autostazione Cosenza 09:15:00,135 A
1521,200588,200588,135 A Autostazione Cosenza 10:30:00,135 A
1521,200589,200589,135 A Autostazione Cosenza 11:50:00,135 A
1521,200590,200590,135 A Autostazione Cosenza 13:20:00,135 A
1521,200592,200592,135 A Autostazione Cosenza 17:00:00,135 A
1521,200593,200593,135 A Autostazione Cosenza 18:15:00,135 A
1522,200597,200597,135 A Autostazione Cosenza 19:30:00,135 A
1523,200599,200599,"135 A Via Crati, 25-30 06:35:00",135 A
1524,200595,200595,135 A Autostazione Cosenza 14:20:00,135 A
1525,200598,200598,"135 B Strada Provinciale 92, 55 20:05:00",135 B
1526,200596,200596,136 A Autostazione Cosenza 06:30:00,136 A
1526,200600,200600,136 A Autostazione Cosenza 07:30:00,136 A
1526,200603,200603,136 A Autostazione Cosenza 10:00:00,136 A
1526,200609,200609,136 A Autostazione Cosenza 14:25:00,136 A
1526,200610,200610,136 A Autostazione Cosenza 17:00:00,136 A
1526,200611,200611,136 A Autostazione Cosenza 19:10:00,136 A
1526,200618,200618,136 A Autostazione Cosenza 11:15:00,136 A
1526,200620,200620,136 A Autostazione Cosenza 13:10:00,136 A
1527,200622,200622,136 A Strada Statale 19 delle Calabrie 05:45:00,136 A
1528,200625,200625,136 A Strada Statale 19 delle Calabrie 06:50:00,136 A
1529,200627,200627,136 A Autostazione Cosenza 08:10:00,136 A
1529,200629,200629,136 A Autostazione Cosenza 10:45:00,136 A
1533,200630,200630,136 A Autostazione Cosenza 15:40:00,136 A
1533,200632,200632,136 A Autostazione Cosenza 17:30:00,136 A
1533,200634,200634,136 A Autostazione Cosenza 19:30:00,136 A
1535,200660,200660,136 A Autostazione Cosenza 07:52:00,136 A
1530,200638,200638,"136 A Contrada Macchialonga, 58E 06:00:00",136 A
1530,200639,200639,"136 A Contrada Macchialonga, 58E 07:00:00",136 A
1530,200640,200640,"136 A Contrada Macchialonga, 58E 08:05:00",136 A
1530,200642,200642,"136 A Contrada Macchialonga, 58E 10:40:00",136 A
1530,200643,200643,"136 A Contrada Macchialonga, 58E 11:50:00",136 A
1530,200644,200644,"136 A Contrada Macchialonga, 58E 13:50:00",136 A
1530,200645,200645,"136 A Contrada Macchialonga, 58E 15:25:00",136 A
1530,200646,200646,"136 A Contrada Macchialonga, 58E 17:50:00",136 A
1531,200653,200653,136 A Via Alessandro Magno 09:10:00,136 A
1531,200654,200654,136 A Via Alessandro Magno 11:40:00,136 A
1532,200657,200657,"136 A Contrada Macchialonga, 58E 19:50:00",136 A
1534,200647,200647,136 A Via Alessandro Magno 14:10:00,136 A
1534,200649,200649,136 A Via Alessandro Magno 16:30:00,136 A
1534,200650,200650,136 A Via Alessandro Magno 18:30:00,136 A
1536,200662,200662,"136 B Viale Guglielmo Marconi, 120 08:00:00",136 B
1536,200663,200663,"136 B Viale Guglielmo Marconi, 120 09:00:00",136 B
1536,200665,200665,"136 B Viale Guglielmo Marconi, 120 10:00:00",136 B
1536,200667,200667,"136 B Viale Guglielmo Marconi, 120 11:05:00",136 B
1536,200668,200668,"136 B Viale Guglielmo Marconi, 120 12:00:00",136 B
1536,200670,200670,"136 B Viale Guglielmo Marconi, 120 13:00:00",136 B
1536,200671,200671,"136 B Viale Guglielmo Marconi, 120 14:00:00",136 B
1536,200672,200672,"136 B Viale Guglielmo Marconi, 120 15:00:00",136 B
1536,200674,200674,"136 B Viale Guglielmo Marconi, 120 16:00:00",136 B
1536,200675,200675,"136 B Viale Guglielmo Marconi, 120 17:00:00",136 B
1536,200676,200676,"136 B Viale Guglielmo Marconi, 120 18:05:00",136 B
1536,200677,200677,"136 B Viale Guglielmo Marconi, 120 20:05:00",136 B
1536,201538,201538,"136 B Viale Guglielmo Marconi, 120 19:05:00",136 B
1537,200681,200681,136 B Strada Statale 19 delle Calabrie 07:45:00,136 B
1537,200682,200682,136 B Strada Statale 19 delle Calabrie 14:21:00,136 B
1540,200689,200689,136 B Università della Calabria - Arcavacata 13:30:00,136 B
1541,200690,200690,136 B Università della Calabria - Arcavacata 20:35:00,136 B
1543,200691,200691,"136 C Via Fratelli Bandiera, 100 08:30:00",136 C
1543,200700,200700,"136 C Via Fratelli Bandiera, 100 09:10:00",136 C
1543,200703,200703,"136 C Via Fratelli Bandiera, 100 10:05:00",136 C
1543,200712,200712,"136 C Via Fratelli Bandiera, 100 09:00:00",136 C
1543,200713,200713,"136 C Via Fratelli Bandiera, 100 09:30:00",136 C
1543,200716,200716,"136 C Via Fratelli Bandiera, 100 10:00:00",136 C
1543,200717,200717,"136 C Via Fratelli Bandiera, 100 10:30:00",136 C
1543,200718,200718,"136 C Via Fratelli Bandiera, 100 11:00:00",136 C
1543,200719,200719,"136 C Via Fratelli Bandiera, 100 11:30:00",136 C
1543,200720,200720,"136 C Via Fratelli Bandiera, 100 12:00:00",136 C
1543,200721,200721,"136 C Via Fratelli Bandiera, 100 12:30:00",136 C
1543,200722,200722,"136 C Via Fratelli Bandiera, 100 13:00:00",136 C
1543,200723,200723,"136 C Via Fratelli Bandiera, 100 13:30:00",136 C
1543,200724,200724,"136 C Via Fratelli Bandiera, 100 14:00:00",136 C
1543,200725,200725,"136 C Via Fratelli Bandiera, 100 14:30:00",136 C
1543,200726,200726,"136 C Via Fratelli Bandiera, 100 15:00:00",136 C
1543,200727,200727,"136 C Via Fratelli Bandiera, 100 15:30:00",136 C
1543,200728,200728,"136 C Via Fratelli Bandiera, 100 16:00:00",136 C
1543,200729,200729,"136 C Via Fratelli Bandiera, 100 16:30:00",136 C
1543,200730,200730,"136 C Via Fratelli Bandiera, 100 17:00:00",136 C
1543,200738,200738,"136 C Via Fratelli Bandiera, 100 17:30:00",136 C
1543,200740,200740,"136 C Via Fratelli Bandiera, 100 18:00:00",136 C
1543,200742,200742,"136 C Via Fratelli Bandiera, 100 18:30:00",136 C
1543,200744,200744,"136 C Via Fratelli Bandiera, 100 19:00:00",136 C
1543,200755,200755,"136 C Via Fratelli Bandiera, 100 19:30:00",136 C
1544,200693,200693,"136 C Via Fratelli Bandiera, 100 09:10:00",136 C
1544,200695,200695,"136 C Via Fratelli Bandiera, 100 10:10:00",136 C
1542,200757,200757,136 C Università della Calabria - Arcavacata 08:30:00,136 C
