agency_id,route_id,route_short_name,route_long_name,route_type
33,1519,135 A,135 A A,3
33,1520,135 A,135 A A,3
33,1521,135 A,135 A R,3
33,1522,135 A,135 A R,3
33,1523,135 A,135 A R,3
33,1524,135 A,135 A R,3
33,1525,135 B,135 B A,3
33,1526,136 A,136 A A,3
33,1527,136 A,136 A A,3
33,1528,136 A,136 A A,3
33,1529,136 A,136 A A,3
33,1533,136 A,136 A A,3
33,1535,136 A,136 A A,3
33,1530,136 A,136 A R,3
33,1531,136 A,136 A R,3
33,1532,136 A,136 A R,3
33,1534,136 A,136 A R,3
33,1536,136 B,136 B A,3
33,1537,136 B,136 B A,3
33,1538,136 B,136 B A,3
33,1539,136 B,136 B A,3
33,1540,136 B,136 B R,3
33,1541,136 B,136 B R,3
33,1543,136 C,136 C A,3
33,1544,136 C,136 C A,3
33,1542,136 C,136 C R,3
33,1545,136 D,136 D A,3
33,1546,136 D,136 D A,3
33,1547,136 D,136 D R,3
33,1548,136 E,136 E R,3
33,1549,136 E,136 E R,3
33,1550,136 E,136 E R,3
33,1551,136 E,136 E R,3
33,1552,136 E,136 E R,3
33,1554,136 F,136 F A,3
33,1553,136 F,136 F R,3
33,1555,136 G,136 G A,3
33,1556,136 G,136 G R,3
33,1557,136 H,136 H A,3
33,1558,137 A,137 A A,3
33,1559,137 A,137 A A,3
33,1560,137 A,137 A A,3
33,1561,137 A,137 A A,3
33,1563,137 A,137 A R,3
33,1564,137 A,137 A R,3
33,1565,137 A,137 A R,3
33,4476,137 A,137 A R,3
33,1566,137 B,137 B A,3
33,4475,137 B,137 B A,3
33,1568,137 B,137 B R,3
33,1570,137 C,137 C A,3
33,4474,137 C,137 C A,3
33,1572,137 C,137 C R,3
33,1573,137 D,137 D A,3
33,7744,137 D,137 D A,3
33,1577,138 A,138 A A,3
33,1578,138 A,138 A A,3
33,1587,138 A,138 A A,3
33,1588,138 A,138 A A,3
33,1590,138 A,138 A A,3
33,1575,138 A,138 A R,3
33,1576,138 A,138 A R,3
33,1583,138 A,138 A R,3
33,1589,138 a,138 a R,3
33,1591,138 a,138 a R,3
33,1593,138 A,138 A R,3
33,1594,138 B,138 B A,3
33,1595,138 B,138 B R,3
33,1596,138 C,138 C A,3
33,1597,138 C,138 C A,3
